spread_line,result,normalized_modeled_prob
-14,-67,0.00%
-14,-66,0.00%
-14,-65,0.00%
-14,-64,0.00%
-14,-63,0.00%
-14,-62,0.00%
-14,-61,0.00%
-14,-60,0.00%
-14,-59,0.00%
-14,-58,0.00%
-14,-57,0.00%
-14,-56,0.01%
-14,-55,0.01%
-14,-54,0.01%
-14,-53,0.01%
-14,-52,0.01%
-14,-51,0.01%
-14,-50,0.02%
-14,-49,0.02%
-14,-48,0.03%
-14,-47,0.03%
-14,-46,0.04%
-14,-45,0.06%
-14,-44,0.31%
-14,-43,0.73%
-14,-42,0.63%
-14,-41,0.82%
-14,-40,0.41%
-14,-39,0.48%
-14,-38,0.99%
-14,-37,0.49%
-14,-36,0.21%
-14,-35,0.63%
-14,-34,1.31%
-14,-33,0.70%
-14,-32,0.82%
-14,-31,1.62%
-14,-30,0.88%
-14,-29,1.03%
-14,-28,2.02%
-14,-27,1.04%
-14,-26,0.49%
-14,-25,1.35%
-14,-24,2.76%
-14,-23,1.48%
-14,-22,1.79%
-14,-21,3.57%
-14,-20,1.76%
-14,-19,0.74%
-14,-18,2.52%
-14,-17,5.42%
-14,-16,2.80%
-14,-15,4.66%
-14,-14,10.52%
-14,-13,4.72%
-14,-12,0.97%
-14,-11,2.38%
-14,-10,5.01%
-14,-9,2.45%
-14,-8,1.95%
-14,-7,3.72%
-14,-6,1.79%
-14,-5,0.61%
-14,-4,1.36%
-14,-3,2.66%
-14,-2,1.31%
-14,-1,0.43%
-14,0,0.08%
-14,1,0.37%
-14,2,0.90%
-14,3,1.74%
-14,4,0.84%
-14,5,0.30%
-14,6,0.66%
-14,7,1.29%
-14,8,0.64%
-14,9,0.55%
-14,10,1.04%
-14,11,0.48%
-14,12,0.14%
-14,13,0.38%
-14,14,0.79%
-14,15,0.37%
-14,16,0.32%
-14,17,0.65%
-14,18,0.29%
-14,19,0.06%
-14,20,0.23%
-14,21,0.51%
-14,22,0.23%
-14,23,0.20%
-14,24,0.43%
-14,25,0.18%
-14,26,0.03%
-14,27,0.15%
-14,28,0.35%
-14,29,0.15%
-14,30,0.13%
-14,31,0.30%
-14,32,0.12%
-14,33,0.02%
-14,34,0.10%
-14,35,0.25%
-14,36,0.10%
-14,37,0.01%
-14,38,0.00%
-14,39,0.00%
-14,40,0.00%
-14,41,0.00%
-14,42,0.00%
-14,43,0.00%
-14,44,0.00%
-14,45,0.00%
-14,46,0.00%
-14,47,0.00%
-14,48,0.00%
-14,49,0.00%
-14,50,0.00%
-14,51,0.00%
-14,52,0.00%
-14,53,0.00%
-14,54,0.00%
-14,55,0.00%
-14,56,0.00%
-14,57,0.00%
-14,58,0.00%
-14,59,0.00%
-14,60,0.00%
-14,61,0.00%
-14,62,0.00%
-14,63,0.00%
-14,64,0.00%
-14,65,0.00%
